#ncounts	stability	slowest	next-slowest
246606800	   0.362	   6427.77045061	   4185.05186614
248110500	   0.364	   6469.63757652	   4218.08762081
249614200	   0.365	   6497.15596351	   4242.16342738
251117900	   0.365	   6504.70271562	   4261.64192742
252621600	   0.363	   6525.41306592	   4277.92858374
254125300	   0.364	   6529.32825627	   4296.56628079
255629000	   0.364	   6547.92840672	   4316.91232643
257132700	   0.364	   6552.27338069	   4329.12781372
258636400	   0.360	   6535.18457395	   4341.49257800
260140100	   0.359	   6544.24776634	   4359.10404921
261643800	   0.359	   6545.26553327	   4383.12111074
263147500	   0.358	   6558.49361480	   4403.84953096
264651200	   0.358	   6570.20204085	   4418.74011528
266154900	   0.357	   6577.48027787	   4434.82140790
267658600	   0.356	   6550.86699699	   4450.19633697
269162300	   0.354	   6537.86013916	   4467.43476157
270666000	   0.356	   6567.01968573	   4488.90021479
272169700	   0.357	   6558.23316937	   4506.63365367
273673400	   0.359	   6580.42455238	   4526.08181213
275177100	   0.361	   6609.74673635	   4546.11011733
276680800	   0.363	   6608.54004769	   4563.40790525
278184500	   0.363	   6625.52548241	   4585.94818154
279688200	   0.364	   6645.80404916	   4606.13540844
281191900	   0.366	   6661.43896280	   4617.24360846
282695600	   0.364	   6633.59057971	   4626.36915796
284199300	   0.363	   6652.51590917	   4646.69880148
285703000	   0.364	   6667.45941741	   4670.44731181
287206700	   0.362	   6671.84703864	   4689.59875162
288710400	   0.360	   6669.28060608	   4709.63969195
290214100	   0.363	   6708.05872986	   4734.45622944
291717800	   0.361	   6707.47155596	   4747.93474122
293221500	   0.363	   6726.85743687	   4767.13061200
294725200	   0.360	   6719.73048254	   4781.38288801
296228900	   0.361	   6729.21573994	   4797.68475023
297732600	   0.363	   6733.12464122	   4801.41294399
299236300	   0.363	   6741.64672120	   4817.52875918
300740000	   0.363	   6752.12938850	   4834.45997265
302243700	   0.362	   6767.89068940	   4854.60314615
303747400	   0.360	   6758.09026586	   4864.97940451
305251100	   0.362	   6785.71061619	   4889.95217842
306754800	   0.362	   6803.10014153	   4899.82401979
308258500	   0.360	   6795.68473667	   4904.54672250
309762200	   0.361	   6826.00234110	   4926.73766105
311265900	   0.361	   6555.68125429	   4577.36992559
312769600	   0.355	   6485.13187900	   4578.67304041
314273300	   0.355	   6496.39403099	   4592.28494772
315777000	   0.356	   6520.07615683	   4611.11135069
317280700	   0.352	   6459.48332757	   4612.90616046
318784400	   0.354	   6477.53093954	   4631.25748202
320288100	   0.355	   6491.47782068	   4647.26777322
321791800	   0.354	   6500.91048372	   4663.84559525
323295500	   0.353	   6505.74889563	   4680.78994504
324799200	   0.352	   6513.49270414	   4696.02717503
326302900	   0.351	   6523.12704391	   4712.67082955
327806600	   0.351	   6549.17606773	   4714.50287266
329310300	   0.352	   6572.03799886	   4736.20392813
330814000	   0.353	   6587.44171159	   4751.01313710
332317700	   0.354	   6602.93436329	   4763.42611653
333821400	   0.353	   6613.34584053	   4780.76913009
335325100	   0.351	   6612.45355899	   4792.38495544
336828800	   0.348	   6598.56258855	   4798.08633210
338332500	   0.349	   6610.52159648	   4814.68849393
339836200	   0.351	   6419.31007248	   4513.25579683
